COMMON_NAME_ebird,SCIENTIFIC_NAME_ebird,COMMON_NAME_traits,SCIENTIFIC_NAME_traits,SCIENTIFIC_NAME_tree,COMMON_NAME_tree
Australian Magpie,Gymnorhina tibicen,Australian Magpie,Gymnorhina_tibicen,Gymnorhina tibicen,Australian Magpie
Crested Pigeon,Ocyphaps lophotes,Crested Pigeon,Ocyphaps_lophotes,Ocyphaps lophotes,Crested Pigeon
Crested Shrike-tit,Falcunculus frontatus,Crested Shrike-tit,Falcunculus_frontatus,Falcunculus frontatus,Crested Shrike-tit
Double-barred Finch,Taeniopygia bichenovii,Double-barred Finch,Taeniopygia_bichenovii,Taeniopygia bichenovii,Double-barred Finch
Eastern Rosella,Platycercus eximius,Eastern Rosella,Platycercus_eximius,Platycercus eximius,Eastern Rosella
Gray Shrikethrush,Colluricincla harmonica,Grey Shrike-thrush,Colluricincla_harmonica,Colluricincla harmonica,Grey Shrike-thrush
House Sparrow,Passer domesticus,House Sparrow,Passer_domesticus,Passer domesticus,House Sparrow
Laughing Kookaburra,Dacelo novaeguineae,Laughing Kookaburra,Dacelo_novaeguineae,Dacelo novaeguineae,Laughing Kookaburra
Little Lorikeet,Glossopsitta pusilla,Little Lorikeet,Glossopsitta_pusilla,Glossopsitta pusilla,Little Lorikeet
Magpie-lark,Grallina cyanoleuca,Magpie-lark,Grallina_cyanoleuca,Grallina cyanoleuca,Magpie-lark
Noisy Friarbird,Philemon corniculatus,Noisy Friarbird,Philemon_corniculatus,Philemon corniculatus,Noisy Friarbird
Pacific Koel,Eudynamys orientalis,Eastern Koel,Eudynamys_orientalis,Eudynamys orientalis,Eastern Koel
Peaceful Dove,Geopelia placida,Peaceful Dove,Geopelia_placida,Geopelia placida,Peaceful Dove
Red-rumped Parrot,Psephotus haematonotus,Red-rumped Parrot,Psephotus_haematonotus,Psephotus haematonotus,Red-rumped Parrot
Rufous Songlark,Megalurus mathewsi,Rufous Songlark,Cincloramphus_mathewsi,Cincloramphus mathewsi,Rufous Songlark
Silver-eye,Zosterops lateralis,Silvereye,Zosterops_lateralis,Zosterops lateralis,Silvereye
Sulphur-crested Cockatoo,Cacatua galerita,Sulphur-crested Cockatoo,Cacatua_galerita,Cacatua galerita,Sulphur-crested Cockatoo
